track_name,artist(s)_name,released_year,in_spotify_charts,streams
Enemy (with JID) - from the series Arcane League of Legends,"Imagine Dragons, League of Legends, JID, Arcane",2021,7,1223481149
Enemy - from the series Arcane League of Legends,"Imagine Dragons, League of Legends, Arcane",2021,0,1223481149
Save Your Tears (with Ariana Grande) (Remix),"Ariana Grande, The Weeknd",2020,5,1221813483
505,Arctic Monkeys,2007,25,1217120710
La Bachata,Manuel Turizo,2022,45,1214083358
Still D.R.E.,"Dr. Dre, Snoop Dogg",1999,0,1210599487
Everybody Wants To Rule The World,Tears For Fears,1985,25,1205951614
In Da Club,50 Cent,2002,7,1202722675
Hope,XXXTENTACION,2018,0,1200808494
Contection,"GODZZ__-, Zakaria",2020,0,1180896317
you broke me first,Tate McRae,2020,0,1180094974
Todo De Ti,Rauw Alejandro,2020,8,1168642797
Ghost,Justin Bieber,2021,24,1167330737
Set Fire to the Rain,Adele,2011,43,1163620694
Kill Bill,SZA,2022,77,1163093654
Last Christmas,Wham!,1984,0,1159176109
Have You Ever Seen The Rain?,Creedence Clearwater Revival,1968,14,1145727611
Butter,BTS,2021,6,1143647827
Astronaut In The Ocean,Masked Wolf,2019,0,1138474110
Ojitos Lindos,"Bomba Estï¿½ï¿½reo, Bad B",2022,38,1133865788
Night Changes,One Direction,2014,18,1131090940
Daddy Issues,The Neighbourhood,2015,4,1127468248
SLOW DANCING IN THE DARK,Joji,2018,0,1122364376
Dandelions,Ruth B.,2017,21,1116995633
Leave The Door Open,"Bruno Mars, Anderson .Paak, Silk Sonic",2021,0,1115880852
Shake It Off,Taylor Swift,2014,13,1113838873
I'm Good (Blue),"Bebe Rexha, David Guetta",2022,80,1109433169
Money Trees,"Kendrick Lamar, Jay Rock",2012,32,1093605526
Somewhere Only We Know,Keane,2004,16,1089402494
I Ain't Worried,OneRepublic,2022,76,1085685420
Boy With Luv (feat. Halsey),"Halsey, BTS",2019,0,1065580332
Talking To The Moon,Bruno Mars,2010,2,1062956628
The Business,Tiï¿½ï¿,2020,0,1062345656
My Universe,"Coldplay, BTS",2021,13,1061966512
Happier Than Ever,Billie Eilish,2021,0,1056760045
Efecto,Bad Bunny,2022,33,1047480053
See You Again,"Tyler, The Creator, Kali Uchis",2017,64,1047101291
Need To Know,Doja Cat,2021,0,1042568408
Running Up That Hill (A Deal With God),Kate Bush,1985,0,1024858327
Falling,Harry Styles,2019,0,1023187129
Revenge,XXXTENTACION,2017,11,1022258230
